id,age,age40,category,city,country,institutions,male,money,response
201005,2,0,5,Prague,Czech Republic,4,1,0,0
201131,5,1,4,Prague,Czech Republic,3,0,1,100
201085,5,1,2,Prague,Czech Republic,1,1,1,100
201064,3,0,1,Prague,Czech Republic,0,1,1,100
201122,3,0,3,Prague,Czech Republic,2,1,0,100
201023,4,1,2,Prague,Czech Republic,1,0,0,100
201079,2,0,4,Prague,Czech Republic,3,1,1,100
201071,4,1,5,Prague,Czech Republic,4,0,1,0
201026,3,0,3,Prague,Czech Republic,2,0,1,100
201047,4,1,4,Prague,Czech Republic,3,0,1,0
201081,6,1,2,Prague,Czech Republic,1,1,1,100
201115,3,0,5,Prague,Czech Republic,4,1,1,0
201114,2,0,2,Prague,Czech Republic,1,0,0,0
201032,5,1,4,Prague,Czech Republic,3,0,1,100
201109,2,0,2,Prague,Czech Republic,1,1,0,100
201110,2,0,3,Prague,Czech Republic,2,1,1,100
201107,2,0,4,Prague,Czech Republic,3,0,1,100
201011,2,0,1,Prague,Czech Republic,0,0,0,100
201118,2,0,2,Prague,Czech Republic,1,1,1,100
201136,6,1,5,Prague,Czech Republic,4,1,0,0
201052,6,1,2,Prague,Czech Republic,1,0,0,100
201090,2,0,3,Prague,Czech Republic,2,1,1,0
201106,5,1,5,Prague,Czech Republic,4,0,0,0
201053,5,1,1,Prague,Czech Republic,0,0,1,0
201135,3,0,2,Prague,Czech Republic,1,0,0,100
201099,4,1,4,Prague,Czech Republic,3,0,0,100
201033,3,0,2,Prague,Czech Republic,1,0,1,100
201050,4,1,2,Prague,Czech Republic,1,0,0,0
201018,4,1,3,Prague,Czech Republic,2,1,0,0
201061,2,0,4,Prague,Czech Republic,3,1,1,100
201067,4,1,3,Prague,Czech Republic,2,1,0,100
201088,5,1,4,Prague,Czech Republic,3,0,1,0
201087,3,0,1,Prague,Czech Republic,0,0,0,0
201069,3,0,4,Prague,Czech Republic,3,0,0,0
201007,2,0,2,Prague,Czech Republic,1,0,1,100
201030,2,0,1,Prague,Czech Republic,0,1,1,100
201046,2,0,2,Prague,Czech Republic,1,1,1,100
201025,2,0,3,Prague,Czech Republic,2,0,0,0
201045,5,1,2,Prague,Czech Republic,1,1,1,0
201075,2,0,4,Prague,Czech Republic,3,0,1,0
201089,2,0,3,Prague,Czech Republic,2,0,1,100
201117,3,0,3,Prague,Czech Republic,2,0,0,100
201020,3,0,1,Prague,Czech Republic,0,0,0,100
201128,2,0,4,Prague,Czech Republic,3,0,0,0
201074,6,1,2,Prague,Czech Republic,1,1,0,0
201021,3,0,1,Prague,Czech Republic,0,1,1,100
201009,5,1,5,Prague,Czech Republic,4,0,0,0
201101,3,0,4,Prague,Czech Republic,3,0,0,0
201092,4,1,5,Prague,Czech Republic,4,0,1,100
201013,3,0,1,Prague,Czech Republic,0,0,0,0
201125,2,0,4,Prague,Czech Republic,3,1,1,0
201031,5,1,1,Prague,Czech Republic,0,0,0,0
201016,2,0,5,Prague,Czech Republic,4,1,1,100
201040,2,0,3,Prague,Czech Republic,2,0,1,100
201062,4,1,2,Prague,Czech Republic,1,0,1,100
201111,3,0,5,Prague,Czech Republic,4,1,0,100
201113,4,1,4,Prague,Czech Republic,3,1,0,0
201024,4,1,5,Prague,Czech Republic,4,0,0,100
201041,2,0,2,Prague,Czech Republic,1,0,0,100
201119,3,0,5,Prague,Czech Republic,4,0,0,100
201097,5,1,2,Prague,Czech Republic,1,0,1,100
201037,3,0,1,Prague,Czech Republic,0,0,0,100
201093,4,1,5,Prague,Czech Republic,4,1,0,0
201123,2,0,3,Prague,Czech Republic,2,0,1,100
201098,2,0,2,Prague,Czech Republic,1,0,1,100
201058,4,1,3,Prague,Czech Republic,2,1,0,0
201105,5,1,4,Prague,Czech Republic,3,0,0,0
201070,4,1,5,Prague,Czech Republic,4,1,0,0
201072,3,0,3,Prague,Czech Republic,2,1,0,100
201036,3,0,5,Prague,Czech Republic,4,0,1,100
201055,2,0,1,Prague,Czech Republic,0,1,1,100
201094,5,1,5,Prague,Czech Republic,4,0,1,100
201112,5,1,5,Prague,Czech Republic,4,0,1,0
201082,3,0,3,Prague,Czech Republic,2,0,1,100
201038,4,1,1,Prague,Czech Republic,0,1,0,100
201080,5,1,2,Prague,Czech Republic,1,0,0,100
201126,2,0,4,Prague,Czech Republic,3,0,1,0
201043,3,0,2,Prague,Czech Republic,1,0,0,0
201066,3,0,3,Prague,Czech Republic,2,0,0,100
201073,5,1,5,Prague,Czech Republic,4,0,1,100
201127,4,1,5,Prague,Czech Republic,4,0,0,0
201034,5,1,2,Prague,Czech Republic,1,0,0,0
201044,2,0,5,Prague,Czech Republic,4,0,1,100
201056,2,0,1,Prague,Czech Republic,0,0,0,100
201076,4,1,3,Prague,Czech Republic,2,0,1,100
201001,2,0,1,Prague,Czech Republic,0,0,1,100
201035,2,0,3,Prague,Czech Republic,2,0,0,100
201096,5,1,4,Prague,Czech Republic,3,0,0,100
201027,5,1,3,Prague,Czech Republic,2,1,1,100
201120,5,1,4,Prague,Czech Republic,3,0,1,0
201129,5,1,3,Prague,Czech Republic,2,1,0,0
201103,4,1,5,Prague,Czech Republic,4,0,1,100
201065,5,1,3,Prague,Czech Republic,2,1,0,0
201104,5,1,5,Prague,Czech Republic,4,0,0,0
201014,2,0,2,Prague,Czech Republic,1,1,0,100
201132,3,0,4,Prague,Czech Republic,3,1,1,100
201042,3,0,2,Prague,Czech Republic,1,0,1,100
201054,5,1,1,Prague,Czech Republic,0,0,1,0
201017,5,1,5,Prague,Czech Republic,4,1,0,100
201004,5,1,5,Prague,Czech Republic,4,1,0,100
201049,3,0,3,Prague,Czech Republic,2,1,1,100
201116,4,1,3,Prague,Czech Republic,2,0,0,0
201068,2,0,5,Prague,Czech Republic,4,1,0,0
